Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Country
2020-12-07 00:33:42+00:00,1335744256896507906,"Great to hear Cloncurry has launched a poetry competition to commemorate the 155th birthday of Dame Mary Gilmore with a top prize of $10,000. Dame Mary was my great-great aunt. She's on our $10 notes and was known and celebrated for her poetry. Enter at ➡️  ",ScottMorrisonMP,293,34,Australia
2020-12-01 08:15:49+00:00,1333686225446662144,Today’s the first day of summer and National Water Safety Day. Please ensure you make good decisions around water this summer and look out for each other. ,ScottMorrisonMP,768,81,Australia
2020-11-28 10:43:47+00:00,1332636297727340546,"Thanks to the people of Groom for supporting our @LNPQLD candidate Garth Hamilton so strongly today. As an engineer, I’m looking forward to having Garth’s practical problem solving experience on our team in Parliament. We’ve got a lot to work to do. See you in Canberra soon. ",ScottMorrisonMP,534,31,Australia
2020-11-19 07:10:18+00:00,1329321083875381249,"On behalf of all Australians, I extend our condolences to her husband Stan and her family ",ScottMorrisonMP,282,16,Australia
2020-11-19 07:10:18+00:00,1329321081417527298,"Very saddened to hear of the recent death of Dame Margaret Guilfoyle. An outstanding and dedicated Minister who opened doors for Australian women that will never be shut again. This is her great legacy, both for the Liberal Party she loved and the country she passionately served. ",ScottMorrisonMP,656,61,Australia
2020-11-19 03:14:13+00:00,1329261671005659138,"Australia’s comeback continues. Today's positive jobs numbers highlight the #COVIDSafe recovery is firmly underway. 178,800 jobs gained back in October brings the total since May to 648,500 jobs. 75% of the jobs lost due to #COVID19 have now returned. ",ScottMorrisonMP,1198,123,Australia
2020-11-16 23:50:32+00:00,1328485636571971584,Great to meet Matthew &amp; Catherine yesterday and hear how our #JobKeeper program has helped them get through #COVID19. They're now rebuilding their business and have just employed three more people. ,ScottMorrisonMP,297,27,Australia
2020-11-16 04:52:40+00:00,1328199283061923841,"Happy 100th Birthday @Qantas! I am, and all Australians are, so proud of our national carrier. Thanks to everyone at Qantas for everything you’ve done to help get us through this pandemic. A special shout out to the many Qantas employees in my southern Sydney electorate of Cook. ",ScottMorrisonMP,752,68,Australia
2020-11-15 03:35:21+00:00,1327817435794206721,@KKeneally My sincerest condolences to you Kristina and your family at this terribly difficult time with the loss of your father. It is so hard to say goodbye. God bless.,ScottMorrisonMP,607,4,Australia
2020-11-15 03:34:16+00:00,1327817165370605568,Pleased that Australia’s contribution and leadership role in the region is being recognised. We are making a positive difference. ,ScottMorrisonMP,594,73,Australia
2020-11-14 05:18:27+00:00,1327480995579248641,"@narendramodi Happy Diwali to you too, Australia’s good friend @narendramodi. Wishing everyone celebrating Diwali, a very happy festival of lights. Shubh Diwali.",ScottMorrisonMP,36025,3342,Australia
2020-11-12 00:25:42+00:00,1326682547061809153,"I look forward to strengthening even further our deep and enduring alliance, and to working with him closely as we face the world’s many challenges together. 

We look forward to celebrating the 70th anniversary of ANZUS next year 🇦🇺🇺🇸",ScottMorrisonMP,1714,139,Australia
2020-11-12 00:25:41+00:00,1326682544272666625,I’ve just spoken to President-elect @JoeBiden to congratulate him on his election. There are no greater friends and no greater allies than Australia and the US. ,ScottMorrisonMP,13525,1716,Australia
2020-11-10 23:01:34+00:00,1326298986265804800,"At the 11th hour of the 11th day of the 11th month, we will remember them #RemembranceDay ",ScottMorrisonMP,3442,416,Australia
